title,publishedAt,url,compound sentiment score
"Hezbollah likely to launch retaliatory cyber attack on Israel, expert says",2024-09-23 11:05:22+00:00,https://www.jpost.com/israel-news/article-821342,-0.9985
"Iran, Trump, and the Third Assassination Plot",2024-09-23 18:57:38+00:00,https://time.com/7013497/donald-trump-iran-assassination-plot/,-0.9999
Modi Touts India as ‘Land of Opportunities’ at New York Event,2024-09-23 20:26:12+00:00,https://www.breitbart.com/asia/2024/09/23/modi-touts-india-land-opportunities-new-york-event/,0.0
Why Vibes Will Likely Determine Harris vs Trump Presidential Election,2024-09-25 11:28:21+00:00,https://www.forbes.com/sites/marcuscollins/2024/09/25/why-vibes-will-likely-decide-the-harris-vs-trump-presidential-election/,0.9993
Harris blasts proposals for Ukraine to cede territory to Russia during Zelenskyy meeting,2024-09-26 23:15:00+00:00,https://richmond.com/news/nation-world/government-politics/harris-meets-ukrainian-president/article_fa3ca40c-cfc2-549e-a372-0023baa94a20.html,-0.9685
Harris blasts proposals for Ukraine to cede territory to Russia during Zelenskyy meeting,2024-09-26 23:15:00+00:00,https://roanoke.com/news/nation-world/government-politics/harris-meets-ukrainian-president/article_579e633e-f84b-51b4-ac82-de2085627e44.html,-0.9984
Should you bother with... dual-mode monitors?,2024-09-27 11:19:11+00:00,https://www.rockpapershotgun.com/should-you-bother-with-dual-mode-monitors,0.0
"Boar's Head faces legal scrutiny over deadly deli meat listeria outbreak, USDA says",2024-09-28 07:45:00+00:00,https://richmond.com/news/state-regional/business/boars-head-faces-legal-scrutiny-over-deadly-deli-meat-listeria-outbreak-usda-says/article_3b58c64c-7d18-11ef-8f01-6fa1235b7f1f.html,-0.9926
A New Chapter for Bangladesh?,2024-09-28 11:00:00+00:00,https://www.nybooks.com/online/2024/09/28/a-new-chapter-for-bangladesh/,-0.9996
Biden Calls the Israeli Strike Killing Hezbollah’s Nasrallah a ‘Measure of Justice’,2024-09-28 17:12:44+00:00,https://time.com/7026258/president-biden-statement-israeli-strike-killing-hezbollah-leader-hassan-nasrallah/,0.0
"Israel is single-handedly remaking the Middle East, and it’s glorious",2024-09-29 04:00:00+00:00,https://www.americanthinker.com/blog/2024/09/israel_is_single_handedly_remaking_the_middle_east_and_it_s_glorious.html,-0.9988
Chaos at the ballot box: How election deniers could throw the 2024 race into turmoil,2024-09-29 11:27:37+00:00,https://www.rawstory.com/election-deniers-2024-2669260676/,0.0
Trump Adviser Shares 'Home Run' Advice For Vance Ahead of Walz TV Debate,2024-10-01 14:17:33+00:00,https://www.newsweek.com/jd-vance-vp-debate-advice-tim-walz-1961942,0.0
‘They’ve Been Exploited By The Democratic Party’: Trump Has Caused Seismic Shift Among Blue Collar Voters,2024-10-01 22:47:53+00:00,https://dailycaller.com/2024/10/01/trump-shift-among-blue-collar-voters/,0.0
